hotel,count,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,1,1,279,2016,October,43,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,2016/9/20
City Hotel,1,1,168,2016,August,34,20,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0,0,Canceled,2016/3/5
City Hotel,1,0,129,2016,May,20,10,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,,0,Transient-Party,99.45,0,0,Check-Out,2016/5/14
City Hotel,1,1,99,2017,May,18,5,1,2,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,171.0,0,0,Canceled,2017/1/26
City Hotel,1,0,0,2016,September,38,12,1,0,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,150.0,0,0,Check-Out,2016/9/13
City Hotel,1,0,30,2016,August,32,5,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,144.9,1,1,Check-Out,2016/8/7
City Hotel,1,1,261,2017,April,17,28,1,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,1,Canceled,2017/4/7
City Hotel,1,0,10,2015,September,37,11,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,120.67,0,1,Check-Out,2015/9/13
City Hotel,1,1,65,2015,September,36,5,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015/7/25
City Hotel,1,0,68,2017,July,30,28,0,1,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,230.0,0,1,Check-Out,2017/7/29
City Hotel,1,1,218,2016,June,24,9,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,133.0,,0,Transient,135.0,0,0,Canceled,2015/12/14
City Hotel,1,1,55,2017,April,14,6,0,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,171.0,0,0,Canceled,2017/2/20
City Hotel,1,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015/7/29
City Hotel,1,1,237,2016,August,32,5,0,2,0,2.0,0,BB,NLD,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient-Party,86.5,0,1,Canceled,2016/7/14
City Hotel,1,1,26,2017,February,5,4,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,83.3,0,0,Canceled,2017/1/9
City Hotel,1,0,1,2015,September,39,24,0,1,2,2.0,0,BB,UKR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Contract,215.0,0,2,Check-Out,2015/9/25
City Hotel,1,1,66,2017,April,15,9,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2017/2/2
City Hotel,1,1,278,2016,August,33,11,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,2015/12/18
City Hotel,1,1,129,2016,October,42,10,1,5,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.3,0,0,Canceled,2016/6/5
City Hotel,1,1,34,2015,December,50,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,0,Transient,90.0,0,0,Canceled,2015/11/6
City Hotel,1,1,178,2016,April,18,28,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,46,Transient,120.0,0,0,Canceled,2015/12/18
City Hotel,1,0,17,2017,March,9,3,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,67.76,0,0,Check-Out,2017/3/5
City Hotel,1,0,112,2017,June,23,4,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,144.0,0,0,Check-Out,2017/6/5
City Hotel,1,0,0,2016,May,20,9,1,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,103.0,0,1,Check-Out,2016/5/12
City Hotel,1,1,293,2015,August,32,6,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015/1/1
City Hotel,1,0,27,2017,April,17,28,1,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,87.4,0,1,Check-Out,2017/5/1
City Hotel,1,1,199,2015,September,39,21,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,20.0,,0,Transient,48.0,0,0,Canceled,2015/7/23
City Hotel,1,0,3,2015,August,35,23,2,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,75.0,0,1,Check-Out,2015/8/25
City Hotel,1,0,3,2017,July,27,3,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,18,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,2,Check-Out,2017/7/4
